,tweet_body,tweet_time,has_train
0,"Fri, Oct 20, 2023 @ 5:06 PM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 5:08 PM | Horsetooth - 5:11 PM
Drake - 5:14 PM | Prospect - 5:17 PM
Mulberry - 5:20 PM | College - 5:24 PM
N Lemay - 5:27 PM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/EDMX84NuMF",Wed Jul 19 22:57:17 +0000 2017,1
1,North camera is A-OK.,Fri Oct 20 23:06:50 +0000 2023,0
2,"Fri, Oct 20, 2023 @ 11:08 AM 
Southbound Train Between Harmony and Trilby
Estimated Arrivals:

Trilby: 11:09 AM | W 57th St: 11:19 AM
W 29th St: 11:24 AM | W 1st St: 11:33 AM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/vnsUBQcuHW",Wed Jul 19 22:57:17 +0000 2017,1
3,https://t.co/RhMmZotOzP,Fri Oct 20 20:56:38 +0000 2023,0
4,"Fri, Oct 20, 2023 @ 10:13 AM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 10:15 AM | Horsetooth - 10:18 AM
Drake - 10:21 AM | Prospect - 10:24 AM
Mulberry - 10:27 AM | College - 10:31 AM
N Lemay - 10:34 AM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/L6k1EV8o8O",Wed Jul 19 22:57:17 +0000 2017,1
5,https://t.co/4FjqZ9wTz5,Fri Oct 20 17:08:24 +0000 2023,0
6,"Fri, Oct 20, 2023 @ 6:56 AM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 6:57 AM
Lemay - 6:59 AM https://t.co/Mq7O0k9JF1",Wed Jul 19 22:57:17 +0000 2017,1
7,https://t.co/wcGoLM18W7,Fri Oct 20 17:08:25 +0000 2023,0
8,"Fri, Oct 20, 2023 @ 5:27 AM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 5:28 AM
Lemay - 5:30 AM https://t.co/GONzohyVR5",Wed Jul 19 22:57:17 +0000 2017,1
9,https://t.co/6bpHJiim1K,Fri Oct 20 16:13:14 +0000 2023,0
10,"Fri, Oct 20, 2023 @ 2:59 AM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 3:00 AM
Lemay - 3:02 AM https://t.co/deWTXqk95u",Wed Jul 19 22:57:17 +0000 2017,1
11,https://t.co/wTfnrjnXQ1,Fri Oct 20 16:13:15 +0000 2023,0
12,"Fri, Oct 20, 2023 @ 2:45 AM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 2:47 AM | Horsetooth - 2:50 AM
Drake - 2:53 AM | Prospect - 2:56 AM
Mulberry - 2:59 AM | College - 3:03 AM
N Lemay - 3:06 AM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/6iI2QBjcke",Wed Jul 19 22:57:17 +0000 2017,1
13,https://t.co/Tn3d71pwek,Fri Oct 20 12:56:59 +0000 2023,0
14,"Thu, Oct 19, 2023 @ 7:25 PM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 7:26 PM
Lemay - 7:28 PM https://t.co/jt6eAIYNXK",Wed Jul 19 22:57:17 +0000 2017,1
15,https://t.co/1ZGI7vanG4,Fri Oct 20 12:57:01 +0000 2023,0
