,tweet_body,tweet_time,has_train
0,"Wed, Aug 9, 2023 @ 5:04 PM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 5:06 PM | Horsetooth - 5:09 PM
Drake - 5:12 PM | Prospect - 5:15 PM
Mulberry - 5:18 PM | College - 5:22 PM
N Lemay - 5:25 PM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/5iLjLyvZvc",Wed Jul 19 22:57:17 +0000 2017,1
1,"Wed, Aug 9, 2023 @ 2:01 PM 
Southbound Train Between Harmony and Trilby
Estimated Arrivals:

Trilby: 2:02 PM | W 57th St: 2:12 PM
W 29th St: 2:17 PM | W 1st St: 2:26 PM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/mDmZgmRFLV",Wed Aug 09 23:04:08 +0000 2023,1
2,https://t.co/GwWKPt5omb,Wed Jul 19 22:57:17 +0000 2017,0
3,"👺Solve puzzles, find treasures, and wield powerful weapons!
⚒⚒300+ stages, Strategies and skills required.

🎁Gift Code: STONPC01",Wed Aug 09 20:01:55 +0000 2023,0
4,"Wed, Aug 9, 2023 @ 1:46 PM 
Southbound Train At College and Cherry
Estimated Arrivals:

Mountain: 1:48 PM | Mulberry: 1:51 PM
Laurel: 1:53 PM | Prospect: 1:55 PM
Drake: 1:57 PM | Horsetooth: 1:59 PM
Harmony: 2:01 PM https://t.co/vs9SCyxtoj",Wed Jul 19 22:57:17 +0000 2017,1
5,https://t.co/6wfGVkUZYV,Wed Aug 09 20:01:56 +0000 2023,0
6,"Wed, Aug 9, 2023 @ 10:06 AM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 10:07 AM
Lemay - 10:09 AM https://t.co/5ZoiYwWECZ",Tue Sep 06 03:31:20 +0000 2022,1
7,https://t.co/75yZVv5alI,Mon Aug 07 03:33:30 +0000 2023,0
8,"Wed, Aug 9, 2023 @ 9:51 AM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 9:53 AM | Horsetooth - 9:56 AM
Drake - 9:59 AM | Prospect - 10:02 AM
Mulberry - 10:05 AM | College - 10:09 AM
N Lemay - 10:12 AM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/CTFOaVwGM6",Tue Sep 06 03:31:20 +0000 2022,1
9,https://t.co/A28SiNQyvW,Wed Jul 19 22:57:17 +0000 2017,0
10,"Wed, Aug 9, 2023 @ 5:04 AM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 5:05 AM
Lemay - 5:07 AM https://t.co/VrJ9fdcZnM",Wed Aug 09 19:46:24 +0000 2023,1
11,https://t.co/SjldJ6ff2m,Wed Jul 19 22:57:17 +0000 2017,0
12,"The 200-1 Messi bet: ⚽️ 

Put $1 on Messi to score in the Leagues Cup Final ... 

... Earn $200 in bonus bets NO. MATTER. WHAT. 💸",Wed Aug 09 19:46:27 +0000 2023,0
13,"Wed, Aug 9, 2023 @ 4:51 AM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 4:53 AM | Horsetooth - 4:56 AM
Drake - 4:59 AM | Prospect - 5:02 AM
Mulberry - 5:05 AM | College - 5:09 AM
N Lemay - 5:12 AM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/Nm4edIq42T",Wed Jul 19 22:57:17 +0000 2017,1
14,https://t.co/QncawID3Fy,Wed Aug 09 16:06:05 +0000 2023,0
15,"Wed, Aug 9, 2023 @ 12:52 AM 
Southbound Train Between Harmony and Trilby
Estimated Arrivals:

Trilby: 12:53 AM | W 57th St: 1:03 AM
W 29th St: 1:08 AM | W 1st St: 1:17 AM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/WJqtwmjAyU",Wed Jul 19 22:57:17 +0000 2017,1
16,https://t.co/mBQ5iOySoz,Wed Aug 09 16:06:09 +0000 2023,0
